name,reserve,starter,year
michael jordan,0,1,1998
grant hill,0,1,1998
shawn kemp,0,1,1998
dikembe mutombo,0,1,1998
anfernee hardaway,0,1,1998
rik smits,1,0,1998
reggie miller,1,0,1998
jayson williams,1,0,1998
tim hardaway,1,0,1998
glen rice,1,0,1998
steve smith,1,0,1998
antoine walker,1,0,1998
gary payton,0,1,1998
kobe bryant,0,1,1998
kevin garnett,0,1,1998
shaquille o'neal,0,1,1998
karl malone,0,1,1998
eddie jones,1,0,1998
david robinson,1,0,1998
vin baker,1,0,1998
nick van exel,1,0,1998
jason kidd,1,0,1998
mitch richmond,1,0,1998
tim duncan,1,0,1998
,,,
,,,
,,,
